user_id,user_type,onboarding_rating,biggest_confusion,feature_request,would_recommend
survey_user_0001,年轻用户,3,想看看别人都在唱什么,智能歌曲推荐,Yes
survey_user_0002,年轻用户,2,需要适合我音域的歌曲推荐,智能歌曲推荐,No
survey_user_0003,年轻用户,4,"歌库太大,不知道从哪里开始",新手推荐歌单,Yes
survey_user_0004,音乐爱好者,4,操作太复杂,更好的帮助文档,Maybe
survey_user_0005,家庭用户,3,作为新手感觉很迷茫,新手引导教程,Maybe
survey_user_0006,家庭用户,3,找不到我想要的功能,更好的帮助文档,Maybe
survey_user_0007,年轻用户,2,"歌库太大,不知道从哪里开始",新手推荐歌单,Yes
survey_user_0008,年轻用户,3,想看看别人都在唱什么,智能歌曲推荐,Maybe
survey_user_0009,家庭用户,3,盯着歌单不知道选什么,新手推荐歌单,Yes
survey_user_0010,年轻用户,2,"界面功能太多,找不到入口",新手引导教程,Maybe
survey_user_0011,音乐爱好者,3,"太多功能,不知道先用哪个",新手引导教程,Maybe
survey_user_0012,年轻用户,4,"界面功能太多,找不到入口",新手引导教程,Maybe
survey_user_0013,家庭用户,2,不确定哪首歌适合我的音域,新手推荐歌单,No
survey_user_0014,年轻用户,3,"歌库太大,不知道从哪里开始",新手推荐歌单,Maybe
survey_user_0015,年轻用户,2,作为新手感觉很迷茫,新手引导教程,Maybe
survey_user_0016,年轻用户,2,操作太复杂,更好的帮助文档,Maybe
survey_user_0017,家庭用户,4,"歌库太大,不知道从哪里开始",新手推荐歌单,Maybe
survey_user_0018,年轻用户,3,希望APP能根据我的嗓音推荐歌,智能歌曲推荐,No
survey_user_0019,家庭用户,4,不知道该选什么歌唱,新手推荐歌单,Maybe
survey_user_0020,家庭用户,4,界面不够直观,更好的帮助文档,No
survey_user_0021,年轻用户,4,想看看别人都在唱什么,智能歌曲推荐,Maybe
survey_user_0022,年轻用户,3,"太多功能,不知道先用哪个",新手引导教程,Yes
survey_user_0023,年轻用户,3,找不到适合自己的歌,新手推荐歌单,Yes
survey_user_0024,年轻用户,3,"歌库太大,不知道从哪里开始",新手推荐歌单,Maybe
survey_user_0025,家庭用户,2,界面不够直观,更好的帮助文档,Maybe
survey_user_0026,年轻用户,3,"歌库太大,不知道从哪里开始",新手推荐歌单,No
survey_user_0027,年轻用户,2,不知道该选什么歌唱,新手推荐歌单,Maybe
survey_user_0028,音乐爱好者,2,界面不够直观,更好的帮助文档,Maybe
survey_user_0029,家庭用户,2,操作太复杂,更好的帮助文档,Maybe
survey_user_0030,年轻用户,3,需要适合我音域的歌曲推荐,智能歌曲推荐,Yes
survey_user_0031,年轻用户,3,"界面功能太多,找不到入口",新手引导教程,Maybe
survey_user_0032,年轻用户,3,不知道该选什么歌唱,新手推荐歌单,Yes
survey_user_0033,年轻用户,3,"太多功能,不知道先用哪个",新手引导教程,No
survey_user_0034,家庭用户,4,想看看别人都在唱什么,智能歌曲推荐,Maybe
survey_user_0035,家庭用户,2,需要适合我音域的歌曲推荐,智能歌曲推荐,Maybe
survey_user_0036,年轻用户,4,找不到适合自己的歌,新手推荐歌单,Yes
survey_user_0037,家庭用户,4,希望APP能根据我的嗓音推荐歌,智能歌曲推荐,No
survey_user_0038,年轻用户,3,盯着歌单不知道选什么,新手推荐歌单,Maybe
